FormName,BlockName,ItemName,ItemType,DBDataType,FormDataType,CaseRestriction,DatabaseItem,FormatMask,CalculateMode,SummaryBlockName,SummaryItemName,SummaryFunction,i.Label,i.Visible,i.CanvasName,i.MaximumLength,i.Required,i.Width,i.Height,i.triggerAlias
XSIM2,BLK1_CONTROL,CHK_BOX_CHECKED_NUM,None,None,Number,None,,,,,,,,false,BLK1_CAN,10,,68,16,
XSIM2,BLK1_CONTROL,BLK1_INSERT,None,None,None,None,false,,,,,,Insert,true,BLK1_CAN,,,0,0,
XSIM2,BLK1_CONTROL,BLK1_EDIT,None,None,None,None,false,,,,,,&Edit,,BLK1_CAN,,,36,,
XSIM2,BLK1_CONTROL,BLK1_REFRESH,None,None,None,None,false,,,,,,Refresh,,BLK1_CAN,,,55,,
XSIM2,BLK1_CONTROL,BLK1_FIND,None,None,None,None,false,,,,,,Find,false,BLK1_CAN,,,,,
XSIM2,BLK1_CONTROL,BLK1_COPY,None,None,None,None,false,,,,,,Copy,true,BLK1_CAN,,,0,0,
XSIM2,BLK1_CONTROL,BLK1_DELETE,None,None,None,None,false,,,,,,Delete,true,BLK1_CAN,,,0,0,
XSIM2,BLK1_CONTROL,BLK1_PRINT,None,None,None,None,false,,,,,,Print,true,BLK1_CAN,,,0,0,
XSIM2,BLK1_CONTROL,BLK1_MASSUPD,None,None,None,None,false,,,,,,Mass Update,false,BLK1_CAN,,,59,,
XSIM2,BLK1_CONTROL,BLK1_EXIT,Push Button,None,None,None,false,,,,,,Exit,true,BLK1_CAN,,,215,0,
XSIM2,BLK1_CONTROL,BT_BLK1_DOC_NO,Push Button,None,None,None,,,,,,,Customer,true,BLK1_CAN,,,109,13,
XSIM2,BLK1_CONTROL,BT_BLK1_YEAR,Push Button,None,None,None,,,,,,,Customer,true,BLK1_CAN,,,27,13,
XSIM2,BLK1_CONTROL,BT_BLK1_CUSTOMER,Push Button,None,None,None,,,,,,,Customer,true,BLK1_CAN,,,85,13,
XSIM2,BLK1_CONTROL,BT_BLK1_DEPT_CODE,Push Button,None,None,None,,,,,,,department Code,true,BLK1_CAN,,,87,13,
XSIM2,BLK1_CONTROL,BT_BLK1_INVDAT,Push Button,None,None,None,,,,,,,invoice date,true,BLK1_CAN,,,59,13,
XSIM2,BLK1_CONTROL,BT_BLK1_SHPDAT,Push Button,None,None,None,,,,,,,shipment date,true,BLK1_CAN,,,57,13,
XSIM2,BLK1_CONTROL,BT_BLK1_PORT_D,Push Button,None,None,None,,,,,,,post of discharge,true,BLK1_CAN,,,131,13,
XSIM2,BLK1_CONTROL,BT_BLK1_SHIP_MODE,Push Button,None,None,None,,,,,,,Shipment Mode,true,BLK1_CAN,,,129,13,
XSIM2,BLK1_CONTROL,BT_BLK1_ACTIVE,Push Button,None,None,None,,,,,,,Active,true,BLK1_CAN,,,46,13,
XSIM2,BLK1_CONTROL,BT_DEFAULT_BUTTON,Push Button,None,None,None,,,,,,,,,BLK1_CAN,,,0,0,
XSIM2,BLK1_CONTROL,CHARGE_TYPE,Text Item,None,None,None,false,,,,,,,,BLK4_CAN,,,63,17,
XSIM2,BLK1_TSI_MST,SIMS_INVNO,Text Item,VARCHAR2,None,Upper,,,,,,,,,BLK1_CAN,16,,107,,
XSIM2,BLK1_TSI_MST,SIMS_YEAR,Text Item,VARCHAR2,Char,Upper,true,,,,,,Name,true,BLK1_CAN,4,false,27,,
XSIM2,BLK1_TSI_MST,SIMS_CUSCOD,Text Item,VARCHAR2,Char,Upper,,,,,,,,,BLK1_CAN,7,,85,17,
XSIM2,BLK1_TSI_MST,SIMS_DPTCOD,Text Item,VARCHAR2,Char,Upper,,,,,,,,,BLK1_CAN,8,,87,,
XSIM2,BLK1_TSI_MST,SIMS_INVDAT,Text Item,DATE,Date,Upper,,dd-MON-yyyy,,,,,,true,BLK1_CAN,11,,59,,
XSIM2,BLK1_TSI_MST,SIMS_SHPDAT,Text Item,DATE,Date,Upper,,dd-MON-yyyy,,,,,,true,BLK1_CAN,11,,57,,
XSIM2,BLK1_TSI_MST,SIMS_PORT_D,Text Item,VARCHAR2,Char,Upper,,,,,,,,false,BLK1_CAN,3,,34,,
XSIM2,BLK1_TSI_MST,MPCP_NAM_D,Text Item,None,Char,Upper,true,,,,,,,true,BLK1_CAN,25,,131,,
XSIM2,BLK1_TSI_MST,SIMS_SHPMODCOD,Text Item,VARCHAR2,Char,Upper,true,,,,,,,true,BLK1_CAN,1,,0,0,
XSIM2,BLK1_TSI_MST,MPSM_DES,Text Item,VARCHAR2,Char,Upper,false,,,,,,,true,BLK1_CAN,10,,129,,
XSIM2,BLK1_TSI_MST,ACTIVE,Text Item,None,Char,Upper,false,,,,,,,true,BLK1_CAN,10,,46,17,
XSIM2,BLK1_TSI_MST,SIMS_CNDSAL,Text Item,VARCHAR2,Char,Upper,true,,,,,,,true,BLK1_CAN,32,,113,17,
XSIM2,BLK1_TSI_MST,SIMS_TRMCUR,Text Item,VARCHAR2,Char,Upper,true,,,,,,,true,BLK1_CAN,25,,150,17,
XSIM2,BLK1_TSI_MST,SIMS_CLSDAT,Text Item,DATE,Date,Upper,,dd-MON-yyyy,,,,,,false,BLK1_CAN,11,,57,,
XSIM2,BLK1_TSI_MST,SIMS_DIVCOD,Text Item,VARCHAR2,Char,Upper,,,,,,,,false,BLK1_CAN,5,,35,17,
XSIM2,BLK1_TSI_MST,SIMS_SAMINVRUN,Text Item,NUMBER,Number,Upper,,,,,,,,false,BLK1_CAN,10,,35,,
XSIM2,BLK1_TSI_MST,BLK1_CHK,Check Box,None,None,Upper,false,,,,,,,false,BLK1_CAN,1,,11,17,CC
XSIM2,BLK2_CRITERIA,SIMS_DIVCOD,Text Item,None,Char,Upper,false,,,,,,F31cuscod,true,BLK1_CAN,3,false,41,,
XSIM2,BLK2_CRITERIA,BLK2_LOV_SIMS_DIVCOD,None,None,None,None,false,,,,,,,,BLK1_CAN,,,17,,
XSIM2,BLK2_CRITERIA,SIMS_INVNO,Text Item,None,Char,Upper,false,,,,,,F31cuscod,true,BLK1_CAN,16,false,91,,
XSIM2,BLK2_CRITERIA,BLK2_LOV_SIMS_INVNO,None,None,None,None,false,,,,,,,,BLK1_CAN,,,17,,
XSIM2,BLK2_CRITERIA,SELECT_SIMS_YEAR,Text Item,None,Char,Upper,false,,,,,,F31cuscod,true,BLK1_CAN,4,false,26,17,
XSIM2,BLK2_CRITERIA,SIMS_CUSCOD,Text Item,None,Char,Upper,false,,,,,,F31cuscod,true,BLK1_CAN,5,false,68,17,
XSIM2,BLK2_CRITERIA,BLK2_LOV_SIMS_CUSCOD,None,None,None,None,false,,,,,,,,BLK1_CAN,,,17,,
XSIM2,BLK2_CRITERIA,SIMS_DPTCOD,Text Item,None,Char,Upper,false,,,,,,F31cuscod,true,BLK1_CAN,4,false,70,,
XSIM2,BLK2_CRITERIA,BLK2_LOV_SIMS_DPTCOD,None,None,None,None,false,,,,,,,,BLK1_CAN,,,17,,
XSIM2,BLK2_CRITERIA,SELECT_INV_DAT_FR,None,None,Date,Upper,false,DD-MON-YYYY,,,,,,,BLK1_CAN,12,,59,17,VI
XSIM2,BLK2_CRITERIA,SELECT_INV_DAT_TO,None,None,Date,Upper,false,DD-MON-YYYY,,,,,,,BLK1_CAN,12,,59,17,VI
XSIM2,BLK2_CRITERIA,SELECT_SHP_DAT_FR,None,None,Date,Upper,false,DD-MON-YYYY,,,,,,,BLK1_CAN,12,,57,17,VI
XSIM2,BLK2_CRITERIA,SELECT_SHP_DAT_TO,None,None,Date,Upper,false,DD-MON-YYYY,,,,,,,BLK1_CAN,12,,57,17,VI
XSIM2,BLK2_CRITERIA,MPCP_NAM_D,Text Item,None,Char,Mixed,false,,,,,,F31cusnam,true,BLK1_CAN,25,false,113,,
XSIM2,BLK2_CRITERIA,BLK2_LOV_PORT_D,None,None,None,None,,,,,,,,,BLK1_CAN,,,17,,
XSIM2,BLK2_CRITERIA,MPSM_DES,Text Item,None,Char,Mixed,false,,,,,,F31cusnam,true,BLK1_CAN,10,false,133,,
XSIM2,BLK2_CRITERIA,BLK3_LOV_SIMS_SHPMODCOD,None,None,None,None,,,,,,,,,BLK1_CAN,,,17,,
