form,block,item,code_unit,type,pu_type,codeId,numLines,parseStatus
XSIM2,,,PRE-FORM,TRIGGER,,1307,5,true
XSIM2,,,WHEN-CUSTOM-JAVASCRIPT-EVENT,TRIGGER,,1308,10,true
XSIM2,,,POST-FORM,TRIGGER,,1309,5,true
XSIM2,,,KEY-SCRUP,TRIGGER,,1296,0,true
XSIM2,,,KEY-SCRDOWN,TRIGGER,,1295,0,true
XSIM2,,,ON-ERROR,TRIGGER,,1298,26,true
XSIM2,,,WHEN-NEW-FORM-INSTANCE,TRIGGER,,1297,74,true
XSIM2,,,KEY-DOWN,TRIGGER,,1292,0,true
XSIM2,,,KEY-OTHERS,TRIGGER,,1291,0,true
XSIM2,,,KEY-PREV-ITEM,TRIGGER,,1294,0,true
XSIM2,,,KEY-NEXT-ITEM,TRIGGER,,1293,0,true
XSIM2,,,WHEN_FILE_PRINT,TRIGGER,,1304,8,true
XSIM2,,,WHEN_FILE_CLOSE,TRIGGER,,1303,52,true
XSIM2,,,WHEN-WINDOW-ACTIVATED,TRIGGER,,1306,12,true
XSIM2,,,WHEN_EXIT_XTS,TRIGGER,,1305,6,true
XSIM2,,,WHEN_FILE_SAVE,TRIGGER,,1300,12,true
XSIM2,,,WHEN_FILE_NEW_REC,TRIGGER,,1299,3,true
XSIM2,,,WHEN_FILE_COPY,TRIGGER,,1302,5,true
XSIM2,,,WHEN_FILE_DELETE,TRIGGER,,1301,17,true
XSIM2,,,KEY-UP,TRIGGER,,1289,0,true
XSIM2,,,KEY-ENTER,TRIGGER,,1290,0,true
XSIM2,,,ON-CLEAR-DETAILS,TRIGGER,,1288,11,true
XSIM2,,,PL_VALIDATE_CUSCOD,PUNIT,Function,1142,46,true
XSIM2,,,PL_INIT_VARIABLE,PUNIT,Procedure,1141,52,true
XSIM2,,,PL_VALIDATE_PORT_L,PUNIT,Function,1144,23,true
XSIM2,,,PL_VALIDATE_SHPMOD,PUNIT,Function,1143,23,true
XSIM2,,,PL_VALIDATE_ADRCOD,PUNIT,Function,1146,29,true
XSIM2,,,PL_VALIDATE_PORT_D,PUNIT,Function,1145,23,true
XSIM2,,,CHECK_PACKAGE_FAILURE,PUNIT,Procedure,1148,6,true
XSIM2,,,PL_VALIDATE_DPTCOD,PUNIT,Function,1147,25,true
XSIM2,,,CLEAR_ALL_MASTER_DETAILS,PUNIT,Procedure,1150,140,true
XSIM2,,,QUERY_MASTER_DETAILS,PUNIT,Procedure,1149,31,true
