form,block,item,code_unit,type,pu_type,codeId,numLines,parseStatus
XSIRPM2,,,WHEN_EXIT_XTS,TRIGGER,,229,10,true
XSIRPM2,,,WHEN_FILE_CLOSE,TRIGGER,,228,12,true
XSIRPM2,,,WHEN-NEW-FORM-INSTANCE,TRIGGER,,227,65,true
XSIRPM2,,,PL_SHOW_FIND,PUNIT,Procedure,179,19,true
XSIRPM2,,,PL_INIT_VARIABLE,PUNIT,Procedure,178,116,true
XSIRPM2,,,PL_PRINT_SAMINV,PUNIT,Procedure,181,143,true
XSIRPM2,,,PSTD_BLK2_OK_WITH_DIV,PUNIT,Procedure,180,17,true
XSIRPM2,,,F_DEF_PRTNAM,PUNIT,Function,182,36,true
XSIRPM2,,,PL_PRINT,PUNIT,Procedure,183,40,true
XSIRPM2,,,PL_LOCK_SAMPLE_INVOICE,PUNIT,Procedure,184,51,true
XSIRPM2,,,PL_SET_MENU_MULTI_REC,PUNIT,Procedure,185,15,true
XSIRPM2,,,PL_UPDATE_WINDOW_TITLE,PUNIT,Procedure,186,5,true
XSIRPM2,,,RUN_PRODUCT,PUNIT,Procedure,187,0,true
XSIRPM2,,,RP2RRO,PUNIT,Package Body,188,0,true
XSIRPM2,,,RP2RRO,PUNIT,Package Spec,189,0,true
XSIRPM2,CRITERIA_BLOCK,,PRE-BLOCK,TRIGGER,,46,3,true
XSIRPM2,MAIN_BLOCK,BUTTON_INV_REPORT,WHEN-BUTTON-PRESSED,TRIGGER,,27,6,true
XSIRPM2,MAIN_BLOCK,INV_BACKGRD,POST-CHANGE,TRIGGER,,25,26,true
XSIRPM2,MAIN_BLOCK,INV_BACKGRD,WHEN-VALIDATE-ITEM,TRIGGER,,24,6,true
XSIRPM2,MAIN_BLOCK,BUTTON_SIMS_INVNO_TO,WHEN-BUTTON-PRESSED,TRIGGER,,22,18,true
XSIRPM2,MAIN_BLOCK,BUTTON_SIMS_INVNO_FROM,WHEN-BUTTON-PRESSED,TRIGGER,,19,20,true
XSIRPM2,MAIN_BLOCK,PRINT_LASER,WHEN-RADIO-CHANGED,TRIGGER,,15,6,true
XSIRPM2,BLK1_CONTROL,BLK1_EXIT,WHEN-BUTTON-PRESSED,TRIGGER,,35,5,true
XSIRPM2,CRITERIA_BLOCK,BLK2_RESET,WHEN-BUTTON-PRESSED,TRIGGER,,43,2,true
XSIRPM2,CRITERIA_BLOCK,BLK2_OK,WHEN-BUTTON-PRESSED,TRIGGER,,41,7,true
XSIRPM2,CRITERIA_BLOCK,BLK2_CANCEL,WHEN-BUTTON-PRESSED,TRIGGER,,45,2,true
XSIRPM2,CRITERIA_BLOCK,BUTTON_DIVCOD,WHEN-BUTTON-PRESSED,TRIGGER,,39,17,true
XSIRPM2,CONTROL_MAIN_BLOCK,EXIT,WHEN-BUTTON-PRESSED,TRIGGER,,53,2,true
XSIRPM2,CONTROL_MAIN_BLOCK,PRT_SETUP,WHEN-BUTTON-PRESSED,TRIGGER,,55,15,true
XSIRPM2,CONTROL_MAIN_BLOCK,PRINT,WHEN-BUTTON-PRESSED,TRIGGER,,51,3,true
XSIRPM2,CONTROL_MAIN_BLOCK,PREVIEW,WHEN-BUTTON-PRESSED,TRIGGER,,49,3,true
XSIRPM2,INFO_BLK,INFO_DIV,WHEN-MOUSE-CLICK,TRIGGER,,87,10,true
